`Date,Text,Score,Username
2025-04-05 05:46:51,"bgus aja si, asikk jugaaa game nya.. ya kadang buat stres klo hp leg🗿. tapi leg gimana pun ttp bisa buat stres ilang, ya menurut aku si.",5,Naysilla Sheril Khalifa
2025-04-05 05:45:18,Game burik maen kalah terus gw kasi bintang satu aja,1,Supra Pelan
2025-04-05 05:44:23,kenapa ini ga bisa dibuka? sampai nyoba buka MCGG sma juga ga bisa. bisa dijelaskan kenapa ga bisa dibuka?,1,sofyan nur
2025-04-05 05:44:08,best game in the World infinite/10,5,channel baru
2025-04-05 05:44:06,seru,5,rizqal rizqal505
2025-04-05 05:43:59,game nya seruu bngett,5,Afkarina Az Zahra
2025-04-05 05:43:18,koneksinya Lo padahal sinyal bagus pas ada musuh langsung ngelag tay,3,gading ramdhani
2025-04-05 05:41:33,tim nya kek taulah,1,Rizky Maulana
2025-04-05 05:41:26,seru bermain dengan teman teman game bagus seperti game hok,5,Wito Paiman
2025-04-05 05:41:10,kurangin bug nya min,5,Indonesia Food
2025-04-05 05:40:38,nonton kenapa malah dikurangin kredit skor padahal gua leg 😡😡😡😡,1,Agus Karnaen
2025-04-05 05:39:54,game nya si bagus hanya jaringan nya moho di perbaiki padahal jaringan nya bagus tapi kenapa jelek dan lagi kenapa kalo jaringan nya jelek kenapa karakter nya maju padahal sa sudah kasi diam tapi kenapa karakter nya masih maju,1,Dasuki Kabir
2025-04-05 05:38:11,bagus,5,Ach Ubaidillah darsi Dilz_al
2025-04-05 05:36:16,game terseru di Indonesia,5,mas adhim
2025-04-05 05:34:59,gajadi rate 5 akun ku sering ke ban 24 jam padahal semua script dan file lainnya udah ku copot,1,Kmnjzo Zo
2025-04-05 05:34:31,kasih gue lawan yang keras muntun gue udah muak muntun,4,Midun Midun
2025-04-05 05:34:31,"game MOBA paling terbaik menurut saya, meskipun ada bug dan kesalahan sinyal tetapi aku tetap menyukai game MOBA ini dari pada lainnya.",5,Dhani Eka
2025-04-05 05:34:08,kalo ngasih tim yang bener males dapet tim kaya hewan udah mau naik mesti kalah lagi,3,WIBU ANIME
2025-04-05 05:33:59,"tolong disesuaikan musuh dan team nya, berikan keseimbangan dalam permainan agar pemain bisa merasa nyaman",2,William Evert
2025-04-05 05:31:43,hero savier tolong demegnya di turunin . ga ngotak demeknya,3,ruli darmanti
2025-04-05 05:31:27,"game aneh , lag gajelas padahal wifi baguss benerin lagi dong game jelek nya",4,Arifki Arifki
2025-04-05 05:30:38,seru banget aku suka mainin 🚩🚩🚩🚩,5,Ikhwan Yafie
2025-04-05 05:30:31,kurangi masalah lag dan koneksi hilang,5,arif putra boca
2025-04-05 05:30:03,ml tolol dikasih tim ga jelas,1,Zaenal abidin
2025-04-05 05:29:16,Serru menyenangkan,5,Fahmy Fakhruddin
2025-04-05 05:28:41,LAWAN SUSAH KAGAK IMBANG YG BENER AJA TEAM NYA KROCO,1,Nurdin Nur Wahid
2025-04-05 05:27:04,"apalah moonton masa dikasih tim dark sistem Mulu.. dari awal rank legend 1 sampe ke epik 3 ga dikasih menang sama sekali dapet tim elite master,apalah",1,afandy freefire
2025-04-05 05:25:46,aku sangat ketagihan bermain game ini karena game ini dapat membuatku rileks dan tidak stress,4,Ananda Dzikri
2025-04-05 05:24:49,Game masih suka offline saat match dimulai dan akhirnya harus relog dan terdeteksi sistem sebagai AFK.. Hahaha keren dah sistemnya..,1,Evan Adinugro
2025-04-05 05:24:38,kena mental.,1,Ahmad Dzaky
2025-04-05 05:24:30,aku suka😁,5,Muhammad Musa
2025-04-05 05:23:24,Monton tolonglah hilangkan drak sistem,3,nur halimsyah
2025-04-05 05:22:33,tolong bug sinyal nya diperbaiki ping ijo tapi ngelag parah🙏🙏,5,Reza Sahputra
2025-04-05 05:22:01,gem bagus,1,ikan ayam
2025-04-05 05:21:52,temen gabisa login ml yapit,1,AqillRorr
2025-04-05 05:19:29,Minus nglek,5,Fauzan Hidayat
2025-04-05 05:19:22,game rusak,1,agus lutiarto
2025-04-05 05:19:13,seruuuu banget ya tuhan,5,Azizah fahmi
2025-04-05 05:18:32,"Tim banyak Dark Sistem, musuh banyak penjoki yg bikin males main rank. sistem gacha yg scam, buang² duit + sekarang Montoon Kikir. kemaren event hp kebanyakan YouTuber yg dapet (Biar pada semangat gacha padahal scam) AYO SAMA² KASIH BINTANG 1 AGAR RATINGNYA TURUN DAN MONTOON SADAR DIRINYA SANGATLAH KIKIR",1,MR XD
2025-04-05 05:17:29,bagus sekali,5,Imam Efendi
2025-04-05 05:16:01,sering sekali mendapatkan tim robot sehingga dari kalah point sampe losestreak,1,Gede Wira
2025-04-05 05:15:17,game nya jelek gw download hd aj 4 jam hd doang,1,Daffa Hasan
2025-04-05 05:14:56,BAGUS GAME NYA,5,imron fatoni
2025-04-05 05:14:19,oke bangeet,5,Abdul Ajiz
2025-04-05 05:14:15,game nya bagus aku suka dengan game nya tapi sering ada player gak bis main/beban aku jadi males main tapi bagus lah dari grafik nya dan semua nya aku suka,5,Murni Saja
2025-04-05 05:14:08,ngasih tim yg bener lah monton jangan sistem gelap mulu,1,fadlan thariq
2025-04-05 05:13:18,mohon maaf aku mau memberi ulasan monton apakah boleh memberi aku tim yang jago ini game bagus banyak event skin gratis sempurna gitu tapi kalo main aku sering kalah kasih lah aku tim jago ya monton makasih monton ganteng baik suka berbagi😘😘❤️❤️❤️❤️☺️☺️,5,Shella Safitri
2025-04-05 05:13:11,Bagus sekali,5,Bang Jay
2025-04-05 05:12:30,moonton² jaringan bagus malah sering ngelag² hadeh,4,Sean Valeska Ibrahim
2025-04-05 05:12:14,game susah coy aku main lost track mulu,2,Muhammad Albas
2025-04-05 05:11:48,game nya bagus dan skin² nya keren semua ada juga skin gratis tapi bagus bangett di Indonesia game pun ada hewan yang menarik,5,Ilham Nurrohman
2025-04-05 05:11:41,"kurangin yg pake cheat, pls mending ban yg make cheat damage sm map daripada yg pake script. tolong ya",5,Airin Dewi permata
